pipeline,cluster_id,entity_id,attribute,predicted_value,gold_value,correct
baseline,c0,1001446,title,new genuine apple macbook pro a1278 a1280 magsafe 1 ac adapter charger l tip 60w,apple lightning digital av adapter - lightning to hdmi adapter - hdmi / lig,0
baseline,c0,1001446,brand,apple,apple,1
baseline,c0,1001446,description,"summary:- designed by apple- automatically on, automatically connected- easy setup for all your apple devices6- quick access to siri by saying “hey siri” or setting up double-tap- double-tap to play or skip forward- charges quickly in the case- case can be charged with a lightning connector- rich, high-quality audio and voice- seamless switching between devicesmore magical than ever.the new airpods deliver the wireless headphone experience, reimagined. just pull them out of the charging case and they’re ready to use with your iphone, apple watch, ipad, or mac.after a simple one-tap setup, airpods work like magic. they’re automatically on and always connected. airpods can even sense when they’re in your ears and pause when you take them out.to adjust the volume, change the song, make a call, or even get directions, simply say “hey siri” and make your request. you have the freedom to wear one or both airpods, and you can play or skip forward with a double-tap when listening to music or podcasts.airpods deliver 5 hours of listening time1 and 3 hours of talk time on a single charge.2 and they’re made to keep up with you, thanks to a charging case that holds multiple charges for more than 24 hours of listening time.3 need a quick charge? just 15 minutes in the case gives you 3 hours of listening time4 or 2 hours of talk time.5powered by the all-new apple h1 headphone chip, airpods use optical sensors and motion accelerometers to detect when they’re in your ears. whether you’re using both airpods or just one, the h1 chip automatically routes the audio and engages the microphone. and when you’re on a call or talking to siri, an additional speech-detecting accelerometer works with beamforming microphones to filter out external noise and focus on the sound of your voice.what's in the box: - airpods- charging case- lightning to usb cable","use the lightning digital av adapter with your iphone, ipad, or ipod with lightning connector. the lightning digital av adapter supports mirroring of what is displayed on your device screen - including apps, presentations, websites, slideshows, and more - to your hdmi-equipped tv, display, projector, or other compatible display in up to 1080p hd. it also outputs video content - movies, tv shows, captured video - to your big screen in up to 1080p hd.",0
baseline,c0,1001446,price,159.00,99.99,0
baseline,c0,1001446,priceCurrency,usd,aud,0
baseline,c1,107440,title,sram disc brake pad set organic with steel back fits hydraulic road disc level ultimate and level tlm,bicycle-chain-cn-hg95-super-narrow-hg-for-mtb-10-speed-116-links-w/o-end-pin-w/ampoule-type-connect-pin-x1,0
baseline,c1,107440,brand,shimano,shimano,1
baseline,c1,107440,description,"the bb-mt800-pa bottom bracket by shimano - pressfit for xt and slx cranksthe shimano bb-mt800-pa is a bottom bracket for press-fit mounting in frames with 89 to 92 mm shell widths and 41 mm bottom bracket diameter. it is recommended for xt, slx and groupless hollowtech ii cranks with 24 mm axle diameters. the bearing cups are made of resin.specificationsapplication: cross country, all mountain, city & touringtype: pressfit bb92shell diameter: 41 mmshell width: 89.5-92 mmaxle diameter: 24 mm (hollowtech ii)technical information:bearings: steelbottom bracket cup material: resinbottom bracket centre tube material: resinfeatures:- recommended for xt fc-m8100, fc-m8120, fc-m8130, fc-m8000, fc-t8000, slx fc-m7100, fc-m7120, fc-m7130, fc-m7000, fc-mt700, fc-mt610, fc-mt600technology:hollowtech iithe externally mounted bottom bracket offers better weight distribution and stability for more efficient power transmission. the diameter of the bottom bracket axle and the bearing (24 mm) was an important factor in the development, as the bottom bracket axle has a significant impact on stiffness, stability, weight and rotational efficiency.manufacturer part number:i-bbmt800pacontents:- 1 x shimano bb-mt800-pa right bearing cup, incl. bearings- 1 x shimano bb-mt800-pa left bearing cup, incl. bearings- 1 x shimano centre tube- 1 x 2.5 mm spacersweight: 68.2gfaqwhat type is shimano xt press fit mtb bottom bracket? the shimano xt press fit mtb bottom bracket is a press-fit type.what width shell is suitable for the shimano xt press fit mtb bottom bracket?the shimano xt press fit mtb bottom bracket is available in 89.5 mm and 92mm shell width standard.what diameter crank diameter is shimano xt press fit mtb bottom bracket compatible with?the shimano xt press fit mtb bottom bracket is compatible with 24 mm crank diameter standard.","shimano chain xt cn-hg95 10-speednew hg-x chains - efficient, quieter, less maintenance with new surface treatment.the all-new, directional 10-speed hg-x chain specifically for mountain bikes is the next evolutionary step in shifting technology. this chain stays smooth, saves weight and improves overall system performance. hg-x chain with directional design: the right side is optimized for switching the front, the left for rear. for use with: xtr / deore xt / slxxt cn-hg95 chain 10-speed 116 links use: mtb series: xt dyna-sys type: hg-x 10-speed super narrow inner plate: zinc-aluminum coated outer plate: zinc-aluminum coated chrome rivets: yes perforated tabs: yes note: the hg-x chain is not compatible with other, designed for road bikes 10-speed circuits.",0
baseline,c1,107440,price,1.4999e2,59.99,0
baseline,c1,107440,priceCurrency,usd,usd,1
